qdate,rate_q,shock
1991-06-30,9.522307692307693,-0.3979807692307684
1991-09-30,9.273076923076923,-0.5553846153846163
1991-12-31,8.69,-0.9979807692307698
1992-03-31,8.688461538461539,-0.8191346153846162
1992-06-30,8.677692307692308,-0.6241346153846159
1992-09-30,8.017692307692307,-1.0234615384615395
1992-12-31,8.192142857142857,-0.6281250000000007
1993-03-31,7.723333333333334,-0.8747550366300372
1993-06-30,7.453076923076923,-0.8863576007326017
1993-09-30,7.087692307692308,-0.9785691391941391
1993-12-31,7.046428571428572,-0.8143864468864459
1994-03-31,7.295833333333333,-0.39090315934065867
1994-06-30,8.427692307692308,0.7722058150183146
1994-09-30,8.594285714285714,0.8667250457875451
1994-12-31,9.105384615384615,1.2636687271062268
1995-03-31,8.785384615384617,0.8109123168498176
1995-06-30,7.917692307692307,-0.11485691391941533
1995-09-30,7.696153846153846,-0.41245306776556845
1995-12-31,7.339230769230769,-0.8059764194139198
1996-03-31,7.272307692307692,-0.8699587912087914
1996-06-30,8.102307692307692,0.0007142857142863335
1996-09-30,8.146923076923077,0.10125000000000028
1996-12-31,7.703076923076923,-0.16730769230769305
1997-03-31,7.7930769230769235,0.04673076923076991
1997-06-30,7.926923076923076,0.17942307692307669
1997-09-30,7.47,-0.2492307692307687
1997-12-31,7.205384615384616,-0.49711538461538396
1998-03-31,7.050000000000001,-0.6247115384615372
1998-06-30,7.0976923076923075,-0.4514423076923082
1998-09-30,6.872307692307692,-0.5174999999999992
1998-12-31,6.764285714285714,-0.508173076923077
1999-03-31,6.8775,-0.280511675824175
1999-06-30,7.181538461538461,0.1166998626373621
1999-09-30,7.786153846153846,0.6817960164835162
1999-12-31,7.840714285714285,0.6569402472527468
2000-03-31,8.256923076923076,0.9222836538461525
2000-06-30,8.316153846153846,0.829206730769231
2000-09-30,8.02,0.3895913461538454
2000-12-31,7.620769230769231,-0.1166998626373621
2001-03-31,7.006923076923077,-0.7467239010989006
2001-06-30,7.13,-0.6172046703296701
2001-09-30,6.963846153846154,-0.6805700549450551
2001-12-31,6.770769230769231,-0.7399038461538456
2002-03-31,6.9715384615384615,-0.37846153846153907
2002-06-30,6.813076923076922,-0.34903846153846274
2002-09-30,6.28923076923077,-0.6565384615384611
2002-12-31,6.075384615384616,-0.6772115384615374
2003-03-31,5.840769230769231,-0.766057692307692
2003-06-30,5.506923076923077,-0.8970192307692306
2003-09-30,6.033846153846154,-0.25384615384615294
2003-12-31,5.9192857142857145,-0.26197115384615444
2004-03-31,5.5975,-0.4120020604395602
2004-06-30,6.106153846153846,0.1850171703296697
2004-09-30,5.894285714285714,0.022517170329670044
2004-12-31,5.7361538461538455,-0.09321085164835274
2005-03-31,5.768461538461538,-0.05186469780219838
2005-06-30,5.708461538461538,-0.13705700549450484
2005-09-30,5.7638461538461545,-0.04792239010988908
2005-12-31,6.226153846153846,0.37602678571428605
2006-03-31,6.2469230769230775,0.31561813186813215
2006-06-30,6.602307692307692,0.6089835164835158
2006-09-30,6.5600000000000005,0.4834615384615386
2006-12-31,6.243846153846154,0.10384615384615437
2007-03-31,6.214615384615384,0.018846153846153513
2007-06-30,6.358461538461539,0.08144230769230809
2007-09-30,6.5515384615384615,0.1760576923076922
2007-12-31,6.224615384615385,-0.15067307692307708
2008-03-31,5.872307692307692,-0.45615384615384613
2008-06-30,6.086923076923076,-0.17711538461538545
2008-09-30,6.322307692307692,0.0879807692307697
2008-12-31,5.841428571428572,-0.34259615384615394
2009-03-31,5.06,-0.9796978021978022
2009-06-30,5.012307692307692,-0.8591208791208791
2009-09-30,5.162307692307692,-0.5354670329670324
2009-12-31,4.922142857142857,-0.6128228021978019
2010-03-31,4.995833333333334,-0.429573031135531
2010-06-30,4.922307692307692,-0.35752174908424994
2010-09-30,4.4471428571428575,-0.5982909798534797
2010-12-31,4.436153846153847,-0.43362065018314944
2011-03-31,4.846923076923077,0.003783195970696873
2011-06-30,4.650769230769231,-0.14717834249084305
2011-09-30,4.291538461538462,-0.3975629578754578
2011-12-31,4.002307692307692,-0.571814331501832
2012-03-31,3.9223076923076925,-0.5176236263736267
2012-06-30,3.7946153846153843,-0.5043543956043965
2012-09-30,3.553846153846154,-0.6334615384615385
2012-12-31,3.3592307692307695,-0.6934615384615381
2013-03-31,3.496923076923077,-0.3870192307692304
2013-06-30,3.6723076923076925,-0.08932692307692314
2013-09-30,4.4399999999999995,0.6598076923076919
2013-12-31,4.2930769230769235,0.47653846153846224
2014-03-31,4.364615384615385,0.4927884615384617
2014-06-30,4.227692307692307,0.3017307692307689
2014-09-30,4.135384615384615,0.13673076923076932
2014-12-31,3.9635714285714285,-0.1106250000000002
2015-03-31,3.716666666666667,-0.38499771062271027
2015-06-30,3.819230769230769,-0.3007989926739931
2015-09-30,3.9546153846153844,-0.10474130036630047
2015-12-31,3.8978571428571427,-0.11209706959707022
2016-03-31,3.7384615384615385,-0.19322344322344343
2016-06-30,3.589230769230769,-0.26264652014652023
2016-09-30,3.446153846153846,-0.3195695970695973
2016-12-31,3.8423076923076924,0.09174221611721611
2017-03-31,4.173076923076923,0.3654601648351652
2017-06-30,3.98,0.15228708791208767
2017-09-30,3.883846153846154,0.06497939560439603
2017-12-31,3.9223076923076925,0.1003846153846153
2018-03-31,4.282307692307692,0.3924038461538464
2018-06-30,4.544615384615384,0.5352884615384612
2018-09-30,4.566923076923077,0.41749999999999954
2018-12-31,4.7846153846153845,0.5174038461538464
2019-03-31,4.373846153846154,0.08153846153846178
2019-06-30,4.010769230769231,-0.2853846153846149
