place_id,place_name,qdate,hpi_index,log_hpi,hpi_g,rate_q,shock,permits_q,permits_g
OK,Oklahoma,2010-01-01,191.1,5.252796851246227,-0.0366233294699647,4.995833333333334,-0.429573031135531,2323.0,4.353292337146097
OK,Oklahoma,2010-04-01,190.75,5.250963670164566,-0.1833181081661195,4.922307692307692,-0.3575217490842499,2322.0,-0.0430385201392269
OK,Oklahoma,2010-07-01,190.14,5.247760642930884,-0.3203027233682043,4.4471428571428575,-0.5982909798534797,1971.0,-16.38111976078287
OK,Oklahoma,2010-10-01,190.82,5.2513305753237,0.3569932392816,4.436153846153847,-0.4336206501831494,1613.0,-20.03326863326862
OK,Oklahoma,2011-01-01,184.04,5.215153125287268,-3.617745003643247,4.846923076923077,0.0037831959706968,1734.0,7.229184355106533
OK,Oklahoma,2011-04-01,188.53,5.239257145418492,2.410402013122414,4.650769230769231,-0.147178342490843,2911.0,51.783271693561694
OK,Oklahoma,2011-07-01,186.13,5.226445354310242,-1.2811791108250148,4.291538461538462,-0.3975629578754578,1723.0,-52.41929580929386
OK,Oklahoma,2011-10-01,190.08,5.24744503617428,2.0999681864038777,4.002307692307692,-0.571814331501832,2064.0,18.048305417149457
OK,Oklahoma,2012-01-01,187.67,5.234685101303181,-1.275993487109961,3.922307692307693,-0.5176236263736267,2076.0,0.5794318480979221
OK,Oklahoma,2012-04-01,189.91,5.246550275726154,1.186517442297319,3.794615384615384,-0.5043543956043965,3096.0,39.95093560970915
OK,Oklahoma,2012-07-01,193.48,5.265174147954783,1.8623872228628715,3.553846153846154,-0.6334615384615385,2942.0,-5.10044317397309
OK,Oklahoma,2012-10-01,195.92,5.277706412643912,1.253226468912949,3.359230769230769,-0.6934615384615381,2571.0,-13.474566287596268
OK,Oklahoma,2013-01-01,198.6,5.291292751611072,1.3586338967160216,3.496923076923077,-0.3870192307692304,3592.0,33.43037017560082
OK,Oklahoma,2013-04-01,199.48,5.295713980677922,0.4421229066849719,3.672307692307693,-0.0893269230769231,3331.0,-7.541478382678513
OK,Oklahoma,2013-07-01,199.33,5.2949617427346745,-0.0752237943247635,4.44,0.6598076923076919,3524.0,5.630771195963646
OK,Oklahoma,2013-10-01,199.0,5.293304824724492,-0.1656918010182195,4.293076923076924,0.4765384615384622,2867.0,-20.62655135268585
OK,Oklahoma,2014-01-01,204.15,5.318855017765585,2.5550193041092406,4.364615384615385,0.4927884615384617,3303.0,14.151893292135751
OK,Oklahoma,2014-04-01,202.58,5.311134870258651,-0.7720147506933728,4.227692307692307,0.3017307692307689,3912.0,16.917048756954323
OK,Oklahoma,2014-07-01,205.26,5.324277468217568,1.3142597958917257,4.135384615384615,0.1367307692307693,3128.0,-22.359087854152904
OK,Oklahoma,2014-10-01,206.52,5.330397260011448,0.6119791793880225,3.963571428571429,-0.1106250000000002,3681.0,16.274261812414004
OK,Oklahoma,2015-01-01,212.82,5.360446738013586,3.004947800213742,3.716666666666667,-0.3849977106227102,2944.0,-22.334726570733565
OK,Oklahoma,2015-04-01,212.0,5.356586274672012,-0.3860463341573528,3.819230769230769,-0.3007989926739931,2569.0,-13.620291819642194
OK,Oklahoma,2015-07-01,214.72,5.369334853783317,1.2748579111304892,3.954615384615384,-0.1047413003663004,3625.0,34.42242134255311
OK,Oklahoma,2015-10-01,217.04,5.380081668350677,1.0746814567359486,3.897857142857143,-0.1120970695970702,2975.0,-19.754999536181383
OK,Oklahoma,2016-01-01,215.65,5.373656723093852,-0.6424945256824799,3.7384615384615385,-0.1932234432234434,3034.0,1.9631307540616485
OK,Oklahoma,2016-04-01,217.95,5.384265678684401,1.0608955590549307,3.589230769230769,-0.2626465201465202,3493.0,14.083578720040355
OK,Oklahoma,2016-07-01,218.83,5.388295172666269,0.4029493981867915,3.446153846153846,-0.3195695970695973,3522.0,0.8265687647234898
OK,Oklahoma,2016-10-01,220.49,5.395852342384568,0.7557169718299228,3.842307692307693,0.0917422161172161,2321.0,-41.68840160834009
OK,Oklahoma,2017-01-01,223.67,5.410171751322179,1.4319408937610412,4.173076923076923,0.3654601648351652,2900.0,22.26266218635677
OK,Oklahoma,2017-04-01,225.74,5.41938389452748,0.9212143205301616,3.98,0.1522870879120876,3325.0,13.671487563146822
OK,Oklahoma,2017-07-01,228.17,5.430090965157479,1.070707062999876,3.883846153846154,0.064979395604396,2389.0,-33.04770148273164
OK,Oklahoma,2017-10-01,229.37,5.4353364202061245,0.5245455048645375,3.922307692307693,0.1003846153846153,2582.0,7.765814817028449
OK,Oklahoma,2018-01-01,228.94,5.43345996049033,-0.1876459715794531,4.282307692307692,0.3924038461538464,2651.0,2.636255820991273
OK,Oklahoma,2018-04-01,232.39,5.448416994792074,1.4957034301744443,4.544615384615384,0.5352884615384612,2854.0,7.375777078435775
OK,Oklahoma,2018-07-01,234.73,5.458435917440796,1.0018922648721509,4.566923076923077,0.4174999999999995,2377.0,-18.2812044839384
OK,Oklahoma,2018-10-01,237.8,5.471429984256681,1.299406681588522,4.7846153846153845,0.5174038461538464,2474.0,3.998059775206375
OK,Oklahoma,2019-01-01,241.38,5.486372455189752,1.4942470933070773,4.373846153846154,0.0815384615384617,3120.0,23.19130672679881
OK,Oklahoma,2019-04-01,241.09,5.485170307761209,-0.1202147428543298,4.010769230769231,-0.2853846153846149,2742.0,-12.910125133317596
OK,Oklahoma,2019-07-01,245.37,5.5027672754149926,1.7596967653783937,3.6584615384615375,-0.609519230769231,3290.0,18.213925800573616
OK,Oklahoma,2019-10-01,247.83,5.512743027242523,0.9975751827530744,3.7,-0.5401923076923074,2784.0,-16.694359658195435
OK,Oklahoma,2020-01-01,253.48,5.535284924455317,2.254189721279332,3.5215384615384617,-0.6235576923076924,3228.0,14.792461839688986
OK,Oklahoma,2020-04-01,257.78,5.552106507976633,1.6821583521316796,3.2392307692307694,-0.7426923076923075,3037.0,-6.097308760255693
OK,Oklahoma,2020-07-01,261.99,5.568306335093752,1.6199827117118204,2.9523076923076923,-0.8277884615384616,3862.0,24.024467951056398
OK,Oklahoma,2020-10-01,271.1,5.60248775650462,3.418142141086822,2.7607142857142857,-0.7663942307692309,3478.0,-10.469918751434015
OK,Oklahoma,2021-01-01,279.71,5.633753352160868,3.12655956562482,2.875833333333333,-0.464023580586081,3969.0,13.202119852929428
OK,Oklahoma,2021-04-01,289.88,5.669467044241081,3.571369208021302,3.003846153846154,-0.2101453754578752,3998.0,0.7278235165582458
OK,Oklahoma,2021-07-01,304.89,5.719951055817785,5.048401157670401,2.8721428571428573,-0.2435588369963368,3852.0,-3.7192264220660576
OK,Oklahoma,2021-10-01,314.76,5.751810443666782,3.1859387848997223,3.079230769230769,0.0411252289377288,3385.0,-12.920278193307766
OK,Oklahoma,2022-01-01,324.05,5.780897824873725,2.9087381206942986,3.822307692307692,0.7466059981684978,3872.0,13.43801168216725
OK,Oklahoma,2022-04-01,335.15,5.814578192803967,3.368036793024132,5.266153846153846,1.937086767399267,4268.0,9.735020724320975
OK,Oklahoma,2022-07-01,337.8,5.8224540043737,0.7875811569733493,5.623076923076923,1.96016369047619,2991.0,-35.54375476635947
OK,Oklahoma,2022-10-01,345.26,5.844297756388403,2.1843752014702567,6.664615384615384,2.5137145146520146,2482.0,-18.64745535862013
OK,Oklahoma,2023-01-01,347.49,5.850735887612364,0.6438131223961641,6.372307692307692,1.7843475274725271,2384.0,-4.026838218572415
OK,Oklahoma,2023-04-01,353.82,5.868788309240467,1.8052421628103053,6.510769230769231,1.484443681318682,3995.0,51.60947364460018
OK,Oklahoma,2023-07-01,359.4,5.884435974349459,1.5647665108991404,7.04,1.492692307692308,4039.0,1.0950831186752552
OK,Oklahoma,2023-10-01,360.09,5.886354000205363,0.1918025855903948,7.303846153846154,1.2284615384615378,2655.0,-41.9423460358872
OK,Oklahoma,2024-01-01,365.74,5.901922698446487,1.55686982411245,6.748461538461539,0.3073076923076936,3340.0,22.94489317604329
OK,Oklahoma,2024-04-01,369.5,5.912150740388256,1.022804194176885,6.995384615384615,0.3380769230769225,3751.0,11.60188677693572
OK,Oklahoma,2024-07-01,370.57,5.91504236076353,0.2891620375273795,6.508461538461538,-0.2595192307692304,3209.0,-15.601809400205369
OK,Oklahoma,2024-10-01,376.5,5.930918047239948,1.5875686476418238,6.632307692307692,-0.1316346153846153,2990.0,-7.066315749411345
