model,nobs,r2,b_const,se_const,p_const,b_saiz_elasticity,se_saiz_elasticity,p_saiz_elasticity,shock_def,K_lags,horizon_q,states_in_sens,states_with_saiz,b_permits_sens_1y,se_permits_sens_1y,p_permits_sens_1y
price~saiz,42,0.016599412694816573,0.19367831800253013,0.20319410475415428,0.34050445946371244,0.054711601884823276,0.053990623395403434,0.31089121168461076,qoq_change,6,4,51,42,,,
price~permits,51,0.12654004594880097,0.4094374232774317,0.08574695502959458,1.797519054494158e-06,,,,qoq_change,6,4,51,42,0.02252052560791911,0.014262638261206365,0.11433895515918689
price~saiz+permits,42,0.08855128535560464,0.204402224991269,0.20194012655507515,0.3114461553958493,0.07323917112493283,0.05600227592493425,0.19094482141785285,qoq_change,6,4,51,42,0.014372066570288031,0.007683474751258022,0.06141212298970411
price~saiz,42,0.03269534954238229,0.09292037975157127,0.2189395126474855,0.6712659591745516,0.08387809946208001,0.057595934505375423,0.1453042362059671,qoq_change,8,4,51,42,,,
price~permits,51,0.10629973214453203,0.3916494504748965,0.09329118719480758,2.6911642814617572e-05,,,,qoq_change,8,4,51,42,0.02214376190753908,0.015060483078232673,0.14147452392236007
price~saiz+permits,42,0.08876762572002606,0.10326176222407013,0.2197477474802906,0.6384190001809741,0.10174478554942447,0.061867693104802314,0.100061741667046,qoq_change,8,4,51,42,0.013859411264908885,0.008588007275355209,0.1065686639258653
price~saiz,42,0.00457922205953698,0.12950498913370478,0.07145217756861508,0.06991347382886004,-0.009691580036120369,0.022322573447090373,0.6641718820299551,yoy_change,4,4,51,42,,,
price~permits,51,0.09364939974208497,0.11644699780968683,0.03615430771392958,0.0012781847634984525,,,,yoy_change,4,4,51,42,0.00918829850253989,0.005413152060787552,0.0896205671529658
price~saiz+permits,42,0.1355884186219447,0.13438531188970848,0.06864838704837338,0.050278285596558586,-0.0012599032348488406,0.01932328841849439,0.9480137380450049,yoy_change,4,4,51,42,0.006540556870498064,0.0022728089454976817,0.004005330641167625
price~saiz,42,0.005089519556459088,-0.04313479911511619,0.09787608442722452,0.659424214120794,0.01382216875791372,0.03000437673871619,0.6450341254884153,yoy_change,6,4,51,42,,,
price~permits,51,0.06176948871516752,0.014013917423523507,0.04378788252787406,0.7489372552499743,,,,yoy_change,6,4,51,42,0.008720435784950529,0.005820510018086573,0.1340747058731615
price~saiz+permits,42,0.07506202301976594,-0.038309764626649326,0.09676513360468186,0.6921753837136957,0.02215832466311342,0.02706132506218308,0.41288974093147846,yoy_change,6,4,51,42,0.006466460119898642,0.003005455413171893,0.031430911376822766
price~saiz,42,7.562460260790438e-06,0.07084648613629713,0.10073450606231821,0.4818693795986778,0.0006116534948922886,0.03192439354619168,0.9847139140441115,yoy_change,8,4,51,42,,,
price~permits,51,0.023586279287703737,0.08777332098465561,0.05628999113184353,0.11892397200567562,,,,yoy_change,8,4,51,42,0.006555292929560029,0.004628041367769619,0.15664987981366957
price~saiz+permits,42,0.07918239838885555,0.07673853599648056,0.09767434623519014,0.43206844826690394,0.010791279433961213,0.028934352073820176,0.7091801830572005,yoy_change,8,4,51,42,0.007896462820400922,0.004047078759884578,0.05103905501721684
